Washington Reported Point Source Emissions (2009 – 2019),,,,,,,,,,,,,,,,
Last Updated: Jan. 2021,,,,,,,,,,,,,,,,
All Emissions Reported as Tons per Year,,,,,,,,,,,,,,,,
,,,,Criteria Pollutant Emissions (Facility Totals),,,,,,,,,,,,
Year,PermittingAgency,County,Name,PM10,PM2.5,SO2,NOX,VOC,CO,NH3,Address,City,Zip Code,Latitude,Longitude,Category
2019,Dept. of Ecology Eastern Regional Office,GRANT,SGL Composites LLC,29.10529,28.795185,6.70338,52.407325,3.99499,10.22261,4.93355,8781 Randolph Rd. NE,Moses Lake,98837,47.20890,-119.28800,HAP Major
2019,Dept. of Ecology Eastern Regional Office,GRANT,D & L Foundry,,,,2.58,17.04,69.55,,12970 Road 3 NE,Moses Lake,98837,47.13156,-119.21629,CAP Major
2019,Dept. of Ecology Eastern Regional Office,PEND OREILLE,Ponderay Newsprint Company,6.8,5.4,25,21.4,139,2.4,2.5,422767 SR 20,Usk,99180-9771,48.28830,-117.27160,HAP and CAP Major
2019,Dept. of Ecology Eastern Regional Office,STEVENS,"Boise Cascade Wood Products, LLC Arden Lumber",13.333795,3.873795,0.022575,3.647945,4.16,2.810335,,634 Hwy. 395 South,Colville,99114,48.45755,-117.88017,CAP Major
2019,Dept. of Ecology Eastern Regional Office,STEVENS,"Boise Cascade Wood Products, LLC Kettle Falls Plywood",64.09,52.53,0.91,13.92,35.99,11.63,,1274 S. Boise Road,Kettle Falls,99141,48.61315,-118.11570,HAP and CAP Major
2019,Dept. of Ecology Eastern Regional Office,STEVENS,"Boise Cascade Wood Products, LLC Kettle Falls Lumber",18.92755,11.27445,0.63,31.35,96.33,80.11,,610 W. 3rd Street,Kettle Falls,99141,48.61050,-118.06300,CAP Major
2019,Dept. of Ecology Eastern Regional Office,STEVENS,Vaagen Brothers Lumber Inc,35.3,34.6,6.5,70.1,97.5,39.1,0,565 West 5th Avenue,Colville,99114,48.54850,-117.91471,HAP and CAP Major
2019,Dept. of Ecology Eastern Regional Office,STEVENS,Avista,43.1702,29.24003,1.36005,391.93605,25.33125,559.30495,,1151 Hwy 395 N,Kettle Falls,99141,48.62072,-118.10861,CAP Major
2019,Dept. of Ecology Eastern Regional Office,WALLA WALLA,Gas Transmission Northwest Station 8,3.26,3.26,3.08,153.42,6.15,229.65,,638 Lamdin Rd,Wallula,99363,46.05360,-118.84420,CAP Major
